authorityId,family,title,path,appliesToStageIds,appliesToArtifacts,runtimeBinding,surfacedInSipocUi,executionUse,notes
CONSTITUTIONAL_AUTHORITY_REGISTRY_V1,registry,Constitutional Authority Registry,docs/governance/CONSTITUTIONAL_AUTHORITY_REGISTRY.md,ADJACENT_PHASE_0; ADJACENT_PHASE_0_5A; ADJACENT_PHASE_0_5B; ADJACENT_DREAM; ADJACENT_REVISE; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,phase0_authority_proof_v1; story_map_seed_v1; revise_opportunity_seed_v1; longform_document_v1; revision_opportunity_ledger_v1; author_exposure_certification_v1,binding,true,Single runtime entry point for constitutional authority loading and required-authority fail-closed checks.,Runtime loaders must consume this registry before resolving constitutional authorities directly.
SIPOC_EVALUATION_PROCESS_V1,sipoc,SIPOC Evaluation Process,docs/SIPOC_EVALUATION_PROCESS.md,ADJACENT_PHASE_0; S10b_PHASE5_AUTHOR_EXPOSURE_GATE; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE; ADJACENT_REVISION_LEDGER,evaluation_template_contract_v1; author_exposure_certification_v1; report_render_manifest_v1; revision_opportunity_ledger_v1,binding,true,Canonical runtime certification index and stage contract source.,Constitutional SIPOC spine; registry must not redefine it ad hoc.
EVALUATION_TEMPLATE_SHORT_FORM,template,Short-Form Evaluation Template,docs/templates/evaluation/short-form-evaluation-template.md,S10b_PHASE5_AUTHOR_EXPOSURE_GATE; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE,evaluation_template_contract_v1; unified_evaluation_document_v1; report_render_manifest_v1,template,true,"Authoritative product contract for short-form report content, ordering, confidence labels, and rendering parity.",Template is product authority; UnifiedEvaluationDocument is the renderer adapter.
EVALUATION_TEMPLATE_LONG_FORM,template,Long-Form Evaluation Template (Legacy mode mapped to multi-layer template authority),docs/templates/evaluation/long-form-multi-layer-evaluation-template.md,S10b_PHASE5_AUTHOR_EXPOSURE_GATE; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE; ADJACENT_DREAM,evaluation_template_contract_v1; unified_evaluation_document_v1; longform_document_v1; report_render_manifest_v1,template,true,Legacy long_form_evaluation compatibility path using the active long-form multi-layer template authority.,Historical mode compatibility only; active long-form authority is the multi-layer template.
EVALUATION_TEMPLATE_LONG_FORM_MULTI_LAYER,template,Long-Form Multi-Layer Evaluation Template,docs/templates/evaluation/long-form-multi-layer-evaluation-template.md,S10b_PHASE5_AUTHOR_EXPOSURE_GATE; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE; ADJACENT_DREAM,evaluation_template_contract_v1; unified_evaluation_document_v1; longform_document_v1; report_render_manifest_v1,template,true,Authoritative product contract for DREAM-backed long-form multi-layer output.,"Controls Story Ledger, Review Gate, governed-ledger, cross-layer, and readiness surfaces."
EVALUATION_RENDERING_CONTRACT,template,Evaluation Rendering Contract,docs/templates/evaluation/evaluation-rendering-contract.md,S10b_PHASE5_AUTHOR_EXPOSURE_GATE; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE,unified_evaluation_document_v1; author_exposure_certification_v1; report_render_manifest_v1,binding,true,"Shared renderer contract for web, PDF, DOCX, TXT, and print-friendly views.",Renderer violations block author exposure; renderers format only.
DREAM_LONGFORM_BENCHMARK_INDEX,benchmark,DREAM Long-Form Multi-Layer Benchmark Index,docs/benchmarks/DREAM_LONGFORM_BENCHMARK_INDEX.md,ADJACENT_DREAM; ADJACENT_FINAL_EXTERNAL_AUDIT; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,longform_document_v1; final_external_audit_v1; evaluation_template_contract_v1,calibration,true,Gold-standard benchmark family for DREAM / long-form multi-layer report quality and governed-ledger expectations.,Merged native benchmark bodies define the current DREAM benchmark contract. Former addenda are fully incorporated into the merged files and are no longer active authority sources.
BENCHMARK_CHARTER_THREE_TRUTH_CASES,benchmark,Benchmark Charter: Three Truth Cases,docs/canon/registered/control/BENCHMARK-CHARTER.md,ADJACENT_PHASE_0; ADJACENT_WAVE; ADJACENT_REVISION_LEDGER; ADJACENT_REVISE,phase0_calibration_baseline_v1; wave_revision_plan_v1; revision_opportunity_ledger_v1,calibration,true,"Truth-case calibration source for ritual protection, authority compression, and chapter-ending pressure behavior.","Done means benchmark-correct behavior, not merely a compiling repository."
DREAM_OUTPUT_LONG_FORM_SPEC,dream,DREAM Output Long-Form Specification,docs/governance/DREAM_OUTPUT_LONG_FORM_MULTI_LAYER_SPEC.md,ADJACENT_DREAM; ADJACENT_FINAL_EXTERNAL_AUDIT; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,longform_document_v1; final_external_audit_v1; unified_evaluation_document_v1,binding,true,Completeness contract for standard long-form and multi-layer DREAM output.,DREAM is a completeness contract; it must not become a competing score or template authority.
DREAM_STATE_LONGFORM_CANON,dream,DREAM State Longform Canon,docs/governance/DREAM_STATE_LONG_FORM_MULTI_LAYER_CANON.md,ADJACENT_DREAM; ADJACENT_FINAL_EXTERNAL_AUDIT,longform_document_v1; final_external_audit_v1,binding,true,DREAM state and governed-ledger runtime authority for long-form synthesis.,Used behind product-facing templates for completeness and artifact requirements.
