kickCode,detectedAt,description,blocking,blocksControlledAccess,remediation,httpStatus
UNAUTHENTICATED,SG01_CREATOR_SUBMISSION,Request has no valid user session.,true,true,User must sign in before submitting or requesting access.,401
MISSING_REQUIRED_FIELDS,SG02_INTAKE_VALIDATION,Required Storygate intake/package fields are missing.,true,false,Creator must complete all required fields.,400
MARKET_COMPARABLES_MISSING,SG05_PACKAGE_VERIFICATION,Market comparables are missing from Storygate package.,true,true,Add market comparables with positioning rationale.,422
RIGHTS_DECLARATION_MISSING,SG05_PACKAGE_VERIFICATION,Rights declaration is absent.,true,true,Creator must confirm rights before listing activation.,422
PACKAGE_AUTHORITY_INVALID,SG05_PACKAGE_VERIFICATION,"Storygate package intake depends on renderer/download output, evaluation_report_view_model_v1, uncertified Agent Readiness output, or unresolved Agent Readiness AR08/AR09 gaps as if they were certified.",true,true,Rebuild package handoff from certified agent_readiness_package_v1 or equivalent professional materials before Storygate verification.,422
FORBIDDEN_SCOPE_REQUESTED,SG02_INTAKE_VALIDATION,Request tries to use film/screen/adaptation/producer-facing scope that is not current Storygate Studio canon.,true,true,Route back to manuscript-first publishing package only.,400
SCORE_BELOW_THRESHOLD,SG06_READINESS_VERIFICATION,Readiness score is below canonical Storygate 9.0/10 floor or equivalent professional assessment is missing.,true,true,"Creator must revise, obtain equivalent assessment, or resubmit when ready.",422
RIGHTS_GATE_FAILED,SG06_READINESS_VERIFICATION,Rights gate failed or rights evidence is not certified for eligibility.,true,true,Resolve rights declaration/evidence before Storygate eligibility or listing activation.,422
PACKAGE_GATE_FAILED,SG05_PACKAGE_VERIFICATION,Professional manuscript package is missing or incomplete.,true,true,Creator must supply a complete Storygate package.,422
MANUSCRIPT_NOT_FINAL,SG08_LISTING_ACTIVATION,Listing activation attempted for non-final manuscript.,true,true,Complete revision before listing.,400
LISTING_ALREADY_EXISTS,SG08_LISTING_ACTIVATION,Duplicate listing for same manuscript and creator.,true,false,Use existing listing or create governed update path.,400
UNVERIFIED_INDUSTRY_USER,SG07_INDUSTRY_VERIFICATION,Requester is not verified as a publishing professional.,true,true,Complete professional verification before browsing/requesting access.,403
VERIFICATION_STATE_UNAUDITED,SG07_INDUSTRY_VERIFICATION,Verification state lacks required audit evidence and cannot authorize controlled-access operations.,true,true,Persist verification decision with auditable evidence before allowing access requests.,500
ACCESS_REQUEST_NOT_CREATED,SG09_ACCESS_REQUEST,Access request was not durably created.,true,true,Do not grant access without request record.,500
APPROVAL_ACTOR_NOT_AUTHORIZED,SG10_CREATOR_ADMIN_APPROVAL,Non-creator/non-admin attempted to approve access.,true,true,Restrict approval to project creator or admin.,403
ACCESS_GRANT_MISSING,SG11_CONTROLLED_ACCESS,Requester attempted controlled view without active grant.,true,true,Require approved grant before view/download.,403
ARTIFACT_NOT_ALLOWED,SG11_CONTROLLED_ACCESS,Requester attempted to view/download artifact outside approved scope.,true,true,Restrict response to allowed_artifacts.,403
STRUCTURED_AUDIT_FIELDS_MISSING,SG12_ACCESS_LOGGING_REVOCATION,Audit event is missing governance-required structured fields.,true,true,"Write validators_run, validators_failed, failure_codes, verification_state, canon_hash, and SLA timing.",500
ACCESS_CONTROL_BYPASS,SG12_ACCESS_LOGGING_REVOCATION,Controlled-access checks were bypassed or grant scope was not enforced.,true,true,Invalidate current session/access path and re-enter SG10 approval + SG11 grant-scope validation.,500
