kickCode,detectedAt,description,blocking,blocksPackageAssembly,remediation,httpStatus
INELIGIBLE_MANUSCRIPT,AR01_MANUSCRIPT_ELIGIBILITY,"Selected manuscript evaluation status is running, failed, queued, canceled, or incomplete.",true,true,Author must wait for evaluation to complete or select a different manuscript.,422
NO_COMPLETED_EVALUATION,AR01_MANUSCRIPT_ELIGIBILITY,No eligible completed evaluation exists for the user. Cannot enter Agent Readiness workflow.,true,true,Author must complete a manuscript evaluation before generating an Agent Readiness Package.,422
MISSING_CONTEXT,AR02_SECTION_GENERATION,manuscriptId or evaluationJobId missing from request.,true,false,Client must supply both manuscriptId and evaluationJobId.,400
UNAUTHENTICATED,AR02_SECTION_GENERATION,Request has no valid authenticated user session.,true,true,Author must log in before generating or assembling package sections.,401
OUTPUT_TOO_SHORT,AR03_QUALITY_GATE,Generated section text is fewer than 20 characters.,true,false,"Retry generation. If persistent, check model and prompt configuration.",422
EDITORIAL_META_LANGUAGE,AR03_QUALITY_GATE,"Generated text contains editorial advisory phrasing (e.g., ""the reader would benefit from"", ""consider adding"").",true,false,Retry generation. Review prompt to reinforce direct authorial voice.,422
UNRESOLVED_PLACEHOLDER,AR03_QUALITY_GATE,"Generated text contains unresolved template placeholders (e.g., [Author Name], [Title]).",true,false,Retry generation. Ensure evaluation context was loaded correctly.,422
WORD_LIMIT_EXCEEDED,AR03_QUALITY_GATE,Generated word count exceeds the section hard CAP (base + fixed integer overage) from lib/config/lengthPolicy.ts. No percentage tolerance.,true,false,"Retry generation with tighter constraint. Deterministic per-section word CAPs (lib/config/lengthPolicy.ts): query_letter 500, what_makes_unique 170, synopsis short 180 / standard 500 / extended 1000, query_pitch 75, comparables 225, author_bio 225.",422
OUTPUT_TOO_THIN,AR03_QUALITY_GATE,"Generated word count is below the section MIN floor from lib/config/lengthPolicy.ts (query_letter <200, what_makes_unique <60, synopsis short <100 / standard <250 / extended <500, query_pitch <25, comparables <60, author_bio <50). Kick back for regeneration — never pad or fabricate.",true,false,Retry generation. Check prompt depth and evaluation context completeness.,422
SECTIONS_NOT_ALL_APPROVED,AR06_COMPLETENESS_CHECK,Fewer than 6 canonical sections have status=approved. Package assembly blocked.,true,true,Author must review and approve all 6 sections before assembling the package.,422
QUALITY_GATE_NOT_PASSED,AR08_EXPORT,Package assembly attempted from sections that failed quality gate requirements.,true,true,Regenerate failed sections and pass AR03 quality gate before package export.,422
CREATOR_APPROVAL_REQUIRED,AR08_EXPORT,Storygate submission attempted without explicit approved creator_approval_v1 artifact.,true,false,Creator must explicitly approve the Agent Readiness package before Storygate submission.,422
DB_WRITE_FAILURE,AR04_SECTION_PERSISTENCE,Section persistence write failed; package state cannot be certified from partial/non-durable data.,true,true,Retry persistence and surface system error (500). Do not proceed to export from non-durable section state.,500
AGENT_PACKAGE_RENDERER_OUTPUT_INVALID,AR08_EXPORT,Package assembly depends on Web/PDF/DOCX/TXT renderer output or evaluation_report_view_model_v1 instead of certified Evaluation / Revise artifacts.,true,true,"Invalidate package assembly and rebuild Agent Readiness context from certified UED, evaluation_result_v2, revision_opportunity_ledger_v1, and revision_completion_record_v1 only.",422
INVALID_FORMAT,AR08_EXPORT,Requested export format is not txt or docx.,true,false,"Set format to exactly ""txt"" or ""docx"".",400
