artifact,producerStageId,consumerStageIds,requiredFields,completenessMetric,accuracyMetric,dirtyDataRule,regenerationOwnerStageId,requiredForAuthorExposure,fitGapStatus
phase0_calibration_baseline_v1,external_canon_build,ADJACENT_PHASE_0,baseline_version; checksum; source_document_checksums,baseline and all source checksums present,checksum matches current canon source set,checksum mismatch fails closed,external_canon_build,false,gap
phase0_authority_proof_v1,ADJACENT_PHASE_0,ADJACENT_PHASE_0_5A; ADJACENT_PHASE_0_5B,baseline_version; checksum; selected_route; authority_paths,route and authority paths present,route follows word count and configured mode,missing proof blocks seed generation,ADJACENT_PHASE_0,false,gap
story_map_seed_v1,ADJACENT_PHASE_0_5A,ADJACENT_SEED_COMPLETENESS_GATE; S05_PASS1,candidate_entity_registry; candidate_alias_map; candidate_relationship_map,required seed sections non-empty,claims marked candidate/provisional unless verified,fallback/unverified claims require downstream caution,ADJACENT_PHASE_0_5A,false,gap
evaluation_seed_v1,ADJACENT_PHASE_0_5A,ADJACENT_SEED_COMPLETENESS_GATE; S05_PASS1,likely_13_criteria_strengths; likely_13_criteria_risks; known_evidence_targets,13 criteria scaffold present,seed does not contain final scores or verdicts,proposed_unverified claims cannot become final authority,ADJACENT_PHASE_0_5A,false,gap
full_context_story_ledger_v1,ADJACENT_PHASE_0_5A,S05_PASS1; S07_PASS3,canonical_identity; cast_role_tier; pov_structure; character_end_states,9 story layers present,canonical entities consistent across all layers,story ledger names are ground truth unless manuscript evidence proves otherwise,ADJACENT_PHASE_0_5A,true,ok
revise_opportunity_seed_v1,ADJACENT_PHASE_0_5B,ADJACENT_REVISE,opportunity_id; criterion_key; evidence; candidate_a; candidate_b; candidate_c,every seed opportunity has A/B/C candidate prose,seed enriches but never overrides evaluation evidence,generic/no-evidence opportunity rejected,ADJACENT_PHASE_0_5B,false,gap
seed_fit_gap_report_v1,ADJACENT_SEED_COMPLETENESS_GATE,S05_PASS1,status; gap_details; severity,all missing seed sections enumerated,blocker vs warning classification correct,blocked status kicks back to Phase 0.5A,ADJACENT_SEED_COMPLETENESS_GATE,false,gap
evaluation_jobs_row,S01_INTAKE,S02_QUEUE; S03_CLAIM; S04_ROUTING_CHUNKING,id; status; phase; phase_status; progress,canonical status and phase metadata present,status values are queued|running|complete|failed only,illegal state transition must throw and not write,S01_INTAKE,false,ok
claim_event_v1,S03_CLAIM,S04_ROUTING_CHUNKING,worker_id; claimed_at; lease_until,claim event appended atomically,worker_pulse_at is set at claim time,overlapping claim indicates split-brain defect,S03_CLAIM,false,ok
phase1a_chunk_routing_manifest_v1,S04_ROUTING_CHUNKING,S05_PASS1; S06_PASS2; ADJACENT_DREAM,route; chunk_count; word_count; chunks,chunk count and chunks agree,route/mode matches word count thresholds,empty chunks for non-empty manuscript kick back to routing,S04_ROUTING_CHUNKING,false,ok
pass1a_chunk_cache_v1,S05_PASS1,S06b_HANDOFF_GATE,chunks; observations,all routed chunks represented,no blocked-word character contamination,missing chunk cache kicks back to Pass 1,S05_PASS1,false,ok
pass1a_character_ledger_v1,S05_PASS1,ADJACENT_SEMANTIC_GATE; S07_PASS3,entries; canonical_names,primary characters represented,blocked names never appear as character names or aliases,character name violates ledger authority,S05_PASS1,true,ok
