artifact,producerStageId,consumerStageIds,requiredFields,completenessMetric,accuracyMetric,dirtyDataRule,requiredForControlledAccess,fitGapStatus
agent_readiness_package_v1,AGENT_READINESS_FACTORY (external),SG01_CREATOR_SUBMISSION; SG05_PACKAGE_VERIFICATION,query_letter; synopsis; author_bio; elevator_pitch; agent_pitch; market_comparables; market_category; target_audience; market_position_statement; sample_pages; rights_declaration,"all required Storygate package sections present, creator-approved, and certified by Agent Readiness or equivalent professional authority","package reflects creator-approved materials, not inferred content","Do not submit generated package content unless creator approved it for Storygate consideration. Current Agent Readiness six-section output must be supplemented with market category, target audience, market position statement, sample pages/materials, and rights declaration before Storygate package verification can pass. Storygate must not accept Web/PDF/DOCX/TXT renderer output, evaluation_report_view_model_v1, uncertified Agent Readiness output, or unresolved Agent Readiness AR08/AR09 gaps as package authority.",false,gap
storygate_submission_request_v1,SG01_CREATOR_SUBMISSION,SG02_INTAKE_VALIDATION; SG03_INTERNAL_SCREENING,project_title; primary_genre; creator_name; creator_email; query_letter; synopsis; author_bio; elevator_pitch; agent_pitch; market_comparables; market_category; target_audience; market_position_statement; sample_pages; rights_declaration,all required intake/package fields present,creator contact and project metadata reflect submitted project,Unsupported film/screen/adaptation scope must be rejected.,false,ok
intake_validation_result_v1,SG02_INTAKE_VALIDATION,SG03_INTERNAL_SCREENING,valid; failureCodes,all required validators return pass/fail,failureCodes map to actual invalid fields,Validation result must not hide system/database errors as client errors.,false,gap
screening_result_v1,SG03_INTERNAL_SCREENING,SG04_TIER_ASSIGNMENT; SG06_READINESS_VERIFICATION,screeningStatus; screeningReasons,screeningStatus and screeningReasons both persisted,screening reason codes match actual failed gates,Storygate admission threshold must be 9.0.,false,critical
tier_assignment_v1,SG04_TIER_ASSIGNMENT,SG05_PACKAGE_VERIFICATION,tier; submission_id; reviewer_notes,one internal tier assigned per screened submission,tier reflects reviewer action rather than public inference,Tier assignment must not create industry visibility.,false,critical
package_verification_result_v1,SG05_PACKAGE_VERIFICATION,SG06_READINESS_VERIFICATION; SG08_LISTING_ACTIVATION,packageGatePass; query_letter; synopsis; author_bio; elevator_pitch; agent_pitch; market_comparables; market_category; target_audience; market_position_statement; sample_pages; rights_declaration,all required package fields explicitly verified,packageGatePass true iff every required package field is present,"Market comparables, market category, target audience, market position statement, and rights declaration must not be optional.",false,gap
storygate_eligibility_result_v1,SG06_READINESS_VERIFICATION,SG08_LISTING_ACTIVATION,packageGatePass; readinessGatePass; rightsGatePass; eligible; readinessThreshold,all eligibility gates have explicit boolean result,"eligible=true iff package, readiness/equivalent, and rights gates pass",Do not promote below 9.0 without explicit qualified equivalent assessment.,false,gap
industry_verification_request_v1,SG07_INDUSTRY_VERIFICATION,SG07_INDUSTRY_VERIFICATION,requester_id; professional_identity,requester identity details submitted,professional identity can be verified by admin,Do not grant verified state from client-side assertions.,true,critical
industry_verification_record_v1,SG07_INDUSTRY_VERIFICATION,SG09_ACCESS_REQUEST; SG11_CONTROLLED_ACCESS,requester_id; verification_state,verification_state persisted as verified or unverified,verified state reflects admin-controlled decision,Verification state must not be spoofable in UI.,true,critical
project_listing_v1,SG08_LISTING_ACTIVATION,SG09_ACCESS_REQUEST; SG10_CREATOR_ADMIN_APPROVAL; SG11_CONTROLLED_ACCESS,listing_id; manuscript_id; creator_email; visibility; access_requires_approval,listing exists with private/restricted default and creator ownership,listing fields derive from eligible submission/final manuscript,Listings must not be publicly searchable.,true,critical
access_request_v1,SG09_ACCESS_REQUEST,SG10_CREATOR_ADMIN_APPROVAL,request_id; listing_id; requester_id; decision,one request record per requester/listing access attempt,decision starts as requested and does not imply grant,Access request must not create active access grant automatically.,true,critical
access_unlock_grant_v1,SG10_CREATOR_ADMIN_APPROVAL,SG11_CONTROLLED_ACCESS; SG12_ACCESS_LOGGING_REVOCATION,grant_id; listing_id; requester_id; allowed_artifacts,active grant exists only after creator/admin approval,grant scope matches creator-approved artifact visibility,Denied requests must not produce access grants.,true,critical
access_decision_event_v1,SG10_CREATOR_ADMIN_APPROVAL,SG12_ACCESS_LOGGING_REVOCATION,request_id; decision; access_granted,approval or denial event captured for every request decision,access_granted boolean matches decision,Approval/denial must be auditable and actor-scoped.,false,critical
controlled_access_view_v1,SG11_CONTROLLED_ACCESS,SG12_ACCESS_LOGGING_REVOCATION,listing_id; requester_id; allowed_artifacts; action_type,"every view/download has listing, requester, and artifact scope",viewed artifacts are within active grant allowed_artifacts,Do not expose artifacts outside grant scope.,true,critical
access_log_event_v1,SG12_ACCESS_LOGGING_REVOCATION,Governance review; Admin audit surfaces,event_id; action_type; listing_id; requester_id; timestamp_utc,all state-changing and view/download actions logged,"event actor, listing, verification, and grant context match source action",Structured audit fields required for SIPOC-enforced status.,true,critical
access_revocation_record_v1,SG12_ACCESS_LOGGING_REVOCATION,SG11_CONTROLLED_ACCESS,grant_id; revoked_by; timestamp_utc,revocation record exists when active grant is revoked,revoked grant blocks future access without deleting historical logs,Revocation must be append-only and must not rewrite prior access evidence.,true,critical
