Stage ID,E2E Stage,What It Tells You,Canonical / Likely Relevant Files,Proof / Regression Scripts,RCA Link Use,Notes
E2E-01,job creation → kickoff,Queue/scheduling overhead,app/api/jobs/route.ts; app/api/evaluate/route.ts; app/api/internal/jobs/route.ts; lib/jobs/triggerWorker.ts; lib/jobs/store.ts; lib/jobs/jobStore.supabase.ts,scripts/jobs-smoke-real.mjs; scripts/jobs-smoke-service-role.mjs; scripts/jobs-supabase-contract-smoke.mjs,Use for queued/triggered/stuck-before-claim RCA rows,"Include auth, private-beta, service-role, and kickoff URL failures."
E2E-02,kickoff → claim,Worker availability lag,app/api/workers/process-evaluations/route.ts; lib/jobs/jobStore.supabase.ts; supabase/migrations/*claim*; supabase/migrations/*evaluation_jobs*,scripts/jobs-test-contention.mjs; scripts/jobs-lease-contention-test.mjs; scripts/jobs-validate-invariants.mjs,Use for claim/lease/heartbeat/worker_id RCA rows,"Known prior classes: active_claim_invalid, blocked_triggered, claim RPC schema drift."
E2E-03,claim → pipeline_run start,Fetch manuscript cost,lib/evaluation/processor.ts; lib/jobs/phase1.ts; lib/jobs/phase2.ts; lib/config/evaluationRuntimeConfig.ts; lib/config/config.ts,__tests__/lib/evaluation/processor.test.ts; __tests__/lib/evaluation/processor.atomic-claim.test.ts,"Use for manuscript fetch, phase start, config, timeout RCA rows",Separate manuscript fetch from LLM execution.
E2E-04,pass1 + pass2 (parallel),OpenAI parallel call cost and upstream output stability,lib/evaluation/pipeline/runPass1.ts; lib/evaluation/pipeline/runPass2.ts; lib/evaluation/pipeline/prompts/pass1-craft.ts; lib/evaluation/pipeline/prompts/pass2-editorial.ts; lib/evaluation/pipeline/runPipeline.ts; lib/llm/jsonParseBoundary.ts,__tests__/lib/evaluation/processor.canonical-pipeline.test.ts; tests/evaluation/pipeline/pipeline-e2e.test.ts; scripts/pipeline/run-phase2-7-real-run.ts,"Use for PASS1_FAILED, PASS2, JSON, LLR, prompt/token RCA rows","Primary current blocker: PASS1 output feasibility, finish_reason=length."
E2E-05,pass3,"Synthesis cost, reconciliation, anti-washing behavior",lib/evaluation/pipeline/runPass3Synthesis.ts; lib/evaluation/pipeline/prompts/pass3-synthesis.ts; lib/evaluation/pipeline/pass3ContractValidator.ts; lib/evaluation/pipeline/normalization.ts,__tests__/lib/evaluation/pipeline/pass3-semantic-contract.test.ts; __tests__/lib/evaluation/pipeline/pass3-backfill-quality.test.ts; __tests__/lib/evaluation/pipeline/pass3.test.ts,"Use for U2 propagation, synthesis smoothing, score-summary mismatch RCA rows",Next phase: U2 propagation enforcement and Pass3 weakness-reference constraint.
E2E-06,quality_gate,Gate overhead and deterministic acceptance/rejection,lib/evaluation/pipeline/qualityGate.ts; lib/evaluation/pipeline/gates.ts; lib/evaluation/pipeline/validateEvaluationArtifact.ts; lib/evaluation/pipeline/persistArtifactValidation.ts,__tests__/lib/evaluation/pipeline/qualityGate.coverage.test.ts; scripts/pipeline/gate-replay-check.ts; scripts/pipeline/gate-replay-check.ts --fail-on-any,Use for QG_* RCA rows and fidelity gate rows,Gate failures must carry structured envelope + diagnostics when applicable.
E2E-07,pass4_cross_check,Perplexity call and retry cost,lib/evaluation/pipeline/perplexityCrossCheck.ts; lib/evaluation/governance/evaluatePass4Governance.ts; lib/governance/canonRegistry.ts; lib/governance/injectionMap.ts,scripts/pipeline/run-dominatus-i4-eval.ts; scripts/eval-chapter10b.ts,Use for cross-check/provider/governance RCA rows,Provider-compatible prompt doctrine applies here.
E2E-08,persist_artifacts + finalize,DB write overhead and artifact/job atomicity,lib/evaluation/persistEvaluationResultV2.ts; lib/evaluation/artifactPersistence.ts; schemas/evaluation-result-v2.ts; lib/evaluation/schemas/evaluation-result-v2.ts; supabase/migrations/*,__tests__/lib/evaluation/persistEvaluationResultV2.boundary-gate.test.ts; scripts/jobs-supabase-contract-smoke.mjs; scripts/jobs-smoke-service-role.mjs,Use for persistence/finalize/artifact shape/RPC RCA rows,Block B now enforced; include PR #241/#242/#243 references in RCA rows.
E2E-09,report rendering,Final user-visible authority and warning classification,app/evaluate/[jobId]/page.tsx; app/evaluation/[jobId]/page.tsx; app/jobs/[jobId]/page.tsx; components/evaluation/*; components/report/*; warningClassification.ts,warningClassification.test.ts; processor.real-gate.test.ts,Use for UI authority/high-confidence contradiction RCA rows,Tie to U2: PASS + low confidence must not render high-authority UI.
E2E-10,proof harness / soak,"End-to-end regression, reliability, and invariant proof",scripts/e2e-golden-run.sh; scripts/check-e2e-summary.mjs; scripts/soak/run-soak.ts; scripts/gate-reliability.sh; docs/operations/evidence/runs/*,npm run soak:qualify; scripts/e2e-golden-run.sh; scripts/check-e2e-summary.mjs,"Use for reliability-gate, proof-pack, 100k soak RCA rows",100k soak passed with zero lost writes/wrong-location edits/unclassified failures.
