dirtyDataDetectedAt,failure,kickBackTo,redoAction,retryLimit,ifRetryFails,failureCode,blocksAuthorExposure
ADJACENT_SEED_COMPLETENESS_GATE,Seed missing required sections or malformed JSON,ADJACENT_PHASE_0_5A,Regenerate story/evaluation seeds with authority proof attached.,1,Fail closed before Pass 1A.,SEED_FIT_GAP_BLOCKED,true
ADJACENT_SEMANTIC_GATE,Ledger repair_required or abandoned-character defect,S05_PASS1,Rebuild story layers and character ledger from canonical story ledger evidence.,1,Block long-form certification or mark insufficient evidence explicitly.,REVIEW_GATE_QUALITY_HARD_FAIL,true
ADJACENT_REVIEW_GATE,Accepted story ledger auto-accepted degraded long-form layers,ADJACENT_SEMANTIC_GATE,Require source-aware repair or human/operator review; do not treat as clean.,1,Block author exposure for long-form report.,REVIEW_GATE_REJECTED,true
S06b_HANDOFF_GATE,"Pass 1/2 handoff contains generic, broken, or evidence-free recommendations",S05_PASS1 or S06_PASS2,Regenerate the source pass that produced the dirty payload.,1,Quarantine dirty recommendation or fail closed.,HANDOFF_GENERIC_LANGUAGE,true
S07_PASS3,Pass 3 emits banned character name or non-canonical alias,S07_PASS3,Sanitize against story ledger canonical entity registry and regenerate affected text.,1,Block persistence of contaminated evaluation_result_v2.,PHASE5_BANNED_ENTITY,true
S09_QUALITYGATEV2,Duplicate/generic recommendation or criteria contract violation,S07_PASS3,Regenerate synthesis with specificity and score-aware priority constraints.,1,Fail closed; no evaluation_result_v2 persistence.,QG_ARTIFACT_GATE_FAIL,true
ADJACENT_WAVE,WAVE derives zero manuscript-specific wave IDs from valid Pass 3 findings,ADJACENT_WAVE,Re-run criterion bridge and score-aware wave derivation.,1,Block long-form author exposure or surface degraded WAVE explicitly.,WAVE_DERIVATION_EMPTY,true
ADJACENT_CANON_GOVERNANCE,Gate 15 FAIL verdict,ADJACENT_CANON_GOVERNANCE,"Re-run Gate 15; if still fail, route to Phase 5 blocking decision.",1,Block author exposure or require explicit waiver artifact.,GATE15_EXECUTION_FAILED,true
ADJACENT_CANON_GOVERNANCE,Dialogue canon detects impossible dialogue count,ADJACENT_CANON_GOVERNANCE,Re-run dialogue/speech detector against the same manuscript source used for dialogue ratio.,1,Block Phase 5 certification for long-form report.,DIALOGUE_CANON_EXECUTION_FAILED,true
ADJACENT_DREAM,"DREAM score, genre, report type, or entity names diverge from evaluation_result_v2",ADJACENT_DREAM,Regenerate DREAM from canonical evaluation_result_v2 and story ledger authority only.,1,Block DREAM sections and author exposure until certified.,DREAM_SYNTHESIS_FAILED,true
ADJACENT_FINAL_EXTERNAL_AUDIT,Final external audit verdict BLOCK,failed producer stage named by audit,Repair missing/contradictory artifact and rerun final audit after persistence completes.,1,Block author exposure.,FINAL_AUDIT_CONTRADICTION,true
S10b_PHASE5_AUTHOR_EXPOSURE_GATE,Webpage/PDF/DOCX/TXT field parity mismatch,S10b_PHASE5_AUTHOR_EXPOSURE_GATE,Rebuild all renderer projections from the same UnifiedEvaluationDocument hash.,1,Block UI and downloads.,PHASE5_RENDER_PARITY_FAIL,true
ADJACENT_REVISION_LEDGER,Revision opportunity has no evidence anchor or source location,ADJACENT_REVISION_LEDGER,Rebuild opportunity from evaluation evidence or classify as Needs Targeting.,1,Block Revise Queue admission for the affected item.,REVISION_LEDGER_EVIDENCE_MISSING,false
