sequence,stageId,processName,activeState,supplier,inputArtifacts,outputArtifacts,certificationStatus,fitGapStatus,notes
1,SG01_CREATOR_SUBMISSION,Creator Submission Entry,active,Creator / author via Storygate Studio preparation surfaces,agent_readiness_package_v1; storygate_submission_request_v1,storygate_submission_request_v1,partial,gap,Current public app surfaces describe package preparation; durable submission implementation is not certified in this repo snapshot.
2,SG02_INTAKE_VALIDATION,Submission Intake Validation,active,SG01_CREATOR_SUBMISSION payload,storygate_submission_request_v1,intake_validation_result_v1,partial,gap,"Current-canon validator exists and enforces required fields, placeholders, forbidden scope, rights declaration, and 9.0/equivalent readiness. Remaining gap: route/database persistence for durable Storygate submissions."
3,SG03_INTERNAL_SCREENING,Internal Screening,planned_required,Internal reviewer / governance validator,storygate_submission_request_v1; intake_validation_result_v1,screening_result_v1,missing_critical,critical,No current-canon Storygate screening route is certified in this repo snapshot. Registry describes required behavior and blocks false completion claims.
4,SG04_TIER_ASSIGNMENT,Tier Assignment,planned_required,Internal reviewer,screening_result_v1; storygate_submission_request_v1,tier_assignment_v1,missing_critical,critical,Tier doctrine is mapped but no current persisted tier/audit evidence is certified in this repo snapshot.
5,SG05_PACKAGE_VERIFICATION,Professional Package Verification,active,Agent Readiness package or equivalent professional package,agent_readiness_package_v1; tier_assignment_v1,package_verification_result_v1,partial,gap,Public pages describe required package. Server-side package verification remains a missing implementation gap.
6,SG06_READINESS_VERIFICATION,Storygate Readiness Verification,active,RevisionGrade evaluation or qualified professional assessment,package_verification_result_v1; screening_result_v1,storygate_eligibility_result_v1,partial,gap,9.0 threshold is locked by STORYGATE_STUDIO_CANON.md and guard tests.
7,SG07_INDUSTRY_VERIFICATION,Industry Verification Gate,active,Publishing professional / admin verifier,industry_verification_request_v1,industry_verification_record_v1,missing_critical,critical,Current route is a sign-in/request shell. Professional verification enforcement proof is required before SIPOC-enforced status.
8,SG08_LISTING_ACTIVATION,Storygate Listing Activation,planned_required,Creator/admin activation action after eligibility pass,storygate_eligibility_result_v1; package_verification_result_v1,project_listing_v1; access_log_event_v1,missing_critical,critical,Current-canon listing activation route/persistence is not certified in this repo snapshot.
9,SG09_ACCESS_REQUEST,Industry Access Request,planned_required,Verified publishing professional,project_listing_v1; industry_verification_record_v1,access_request_v1,missing_critical,critical,No concrete current route/function is present in this repo snapshot.
10,SG10_CREATOR_ADMIN_APPROVAL,Creator/Admin Access Approval,planned_required,Creator or admin,access_request_v1; project_listing_v1,access_unlock_grant_v1; access_decision_event_v1,missing_critical,critical,Creator/admin approval is core Storygate protection and remains missing-critical until proven.
11,SG11_CONTROLLED_ACCESS,Controlled Access and Viewing,planned_required,Verified professional with active grant,access_unlock_grant_v1; project_listing_v1,controlled_access_view_v1; access_log_event_v1,missing_critical,critical,Controlled viewing route is not present/certified in this repo snapshot.
12,SG12_ACCESS_LOGGING_REVOCATION,"Access Logging, Audit, and Revocation",planned_required,System access logger / creator-admin revocation action,controlled_access_view_v1; access_unlock_grant_v1,access_log_event_v1; access_revocation_record_v1,missing_critical,critical,"Structured audit, SLA, and revocation persistence remain missing-critical."
