path,filename,folder,extension,word_count,line_count,md5,contains_authority_language,contains_runtime_language,likely_category,proposed_status,duplicate_filename_group,exact_duplicate_group
github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,github,.md,137,58,ac2a168426dd001070dda5ecdc59d1cb,no,yes,root-or-other,historical,,ac2a168426dd001070dda5ecdc59d1cb
github/copilot-instructions.md,copilot-instructions.md,github,.md,195,38,c88286c59da7207033f0be460c70ae83,yes,no,root-or-other,historical,,
github/pull_request_template.md,pull_request_template.md,github,.md,137,58,ac2a168426dd001070dda5ecdc59d1cb,no,yes,root-or-other,historical,,ac2a168426dd001070dda5ecdc59d1cb
phase2a-todo.md,.phase2a-todo.md,,.md,203,36,ee84091c93ad8766f8b3d2e6a9a9c233,no,no,root-or-other,historical,,
72-HOUR-SPRINT-QUICK-START.md,72-HOUR-SPRINT-QUICK-START.md,,.md,1430,454,b967090b7a7bcf2ca7fbaee444b3a8a6,no,no,root-or-other,historical,,
72-HOUR-SPRINT.md,72-HOUR-SPRINT.md,,.md,1499,451,13ac8493989d441fdefba4eb4ab6e6cd,no,no,root-or-other,historical,,
72HR-EXECUTIVE-SUMMARY.md,72HR-EXECUTIVE-SUMMARY.md,,.md,445,112,f854f51e626c0425c89d47b334ae5b38,no,yes,root-or-other,historical,,
72HR-INDEX.md,72HR-INDEX.md,,.md,829,182,d09771a778f929d39640482e86432c03,no,no,root-or-other,historical,,
A5_ADMIN_RETRY_ATOMICITY_COMPLETE.md,A5_ADMIN_RETRY_ATOMICITY_COMPLETE.md,,.md,894,214,809c18909d9857c7110256b3fe64d729,no,no,root-or-other,historical,,
A5_ADMIN_RETRY_STATUS.md,A5_ADMIN_RETRY_STATUS.md,,.md,491,97,53811b496eda52302f2c500ea7e4705e,no,no,root-or-other,historical,,
AI_GOVERNANCE.md,AI_GOVERNANCE.md,,.md,261,47,51cb249faef51cd105b63a5112c6b16b,no,no,root-or-other,historical,,
APPLY_MIGRATIONS_RUNBOOK.md,APPLY_MIGRATIONS_RUNBOOK.md,,.md,720,197,b8323b30e02bbef0784a588b9bc5e80e,no,no,runbook,runbook,,
APPLY_PHASE2D_2-6.md,APPLY_PHASE2D_2-6.md,,.md,454,108,8597bbdddd93ab4c26b6a462f539300e,no,no,root-or-other,historical,,
